tokens,token_n,N_1,new
my,11840,11840,1
comrade,11841,11841,0
on,11842,11842,1
the,11843,11843,1
sea,11844,11844,1
.,11845,11845,1
In,11846,11846,1
a,11847,11847,1
few,11848,11848,1
minutes,11849,11849,0
",",11850,11850,1
however,11851,11851,1
",",11852,11852,1
he,11853,11853,1
was,11854,11854,1
missed,11855,11855,0
by,11856,11856,1
his,11857,11857,1
shipmates,11858,11858,1
",",11859,11859,1
and,11860,11860,1
being,11861,11861,1
",",11862,11862,1
it,11863,11863,1
seems,11864,11864,1
",",11865,11865,1
for,11866,11866,1
some,11867,11867,1
reason,11868,11868,1
a,11869,11869,1
huge,11870,11870,1
favourite,11871,11871,0
with,11872,11872,1
them,11873,11873,1
",",11874,11874,1
they,11875,11875,1
raised,11876,11876,0
a,11877,11877,1
cry,11878,11878,0
of,11879,11879,1
“,11880,11880,1
Bulkington,11881,11881,0
!,11882,11882,1
Bulkington,11883,11883,1
!,11884,11884,1
where,11885,11885,1
’,11886,11886,1
s,11887,11887,1
Bulkington,11888,11888,1
?,11889,11889,1
”,11890,11890,1
and,11891,11891,1
darted,11892,11892,0
out,11893,11893,1
of,11894,11894,1
the,11895,11895,1
house,11896,11896,1
in,11897,11897,1
pursuit,11898,11898,1
of,11899,11899,1
him,11900,11900,1
.,11901,11901,1
It,11902,11902,1
was,11903,11903,1
now,11904,11904,1
about,11905,11905,1
nine,11906,11906,1
o,11907,11907,1
’,11908,11908,1
clock,11909,11909,0
",",11910,11910,1
and,11911,11911,1
the,11912,11912,1
room,11913,11913,1
seeming,11914,11914,0
almost,11915,11915,1
supernaturally,11916,11916,0
quiet,11917,11917,1
after,11918,11918,1
these,11919,11919,1
orgies,11920,11920,0
",",11921,11921,1
I,11922,11922,1
began,11923,11923,1
to,11924,11924,1
congratulate,11925,11925,0
myself,11926,11926,1
upon,11927,11927,1
a,11928,11928,1
little,11929,11929,1
plan,11930,11930,0
that,11931,11931,1
had,11932,11932,1
occurred,11933,11933,1
to,11934,11934,1
me,11935,11935,1
just,11936,11936,1
previous,11937,11937,1
to,11938,11938,1
the,11939,11939,1
entrance,11940,11940,0
of,11941,11941,1
the,11942,11942,1
seamen,11943,11943,1
.,11944,11944,1
No,11945,11945,1
man,11946,11946,1
prefers,11947,11947,0
to,11948,11948,1
sleep,11949,11949,1
two,11950,11950,1
in,11951,11951,1
a,11952,11952,1
bed,11953,11953,1
.,11954,11954,1
In,11955,11955,1
fact,11956,11956,1
",",11957,11957,1
you,11958,11958,1
would,11959,11959,1
a,11960,11960,1
good,11961,11961,1
deal,11962,11962,1
rather,11963,11963,1
not,11964,11964,1
sleep,11965,11965,1
with,11966,11966,1
your,11967,11967,1
own,11968,11968,1
brother,11969,11969,1
.,11970,11970,1
I,11971,11971,1
don,11972,11972,1
’,11973,11973,1
t,11974,11974,1
know,11975,11975,0
how,11976,11976,1
it,11977,11977,1
is,11978,11978,1
",",11979,11979,1
but,11980,11980,1
people,11981,11981,1
like,11982,11982,1
to,11983,11983,1
be,11984,11984,1
private,11985,11985,0
when,11986,11986,1
they,11987,11987,1
are,11988,11988,1
sleeping,11989,11989,0
.,11990,11990,1
And,11991,11991,1
when,11992,11992,1
it,11993,11993,1
comes,11994,11994,0
to,11995,11995,1
sleeping,11996,11996,1
with,11997,11997,1
an,11998,11998,1
unknown,11999,11999,0
stranger,12000,12000,0
",",12001,12001,1
in,12002,12002,1
a,12003,12003,1
strange,12004,12004,1
inn,12005,12005,0
",",12006,12006,1
in,12007,12007,1
a,12008,12008,1
strange,12009,12009,1
town,12010,12010,1
",",12011,12011,1
and,12012,12012,1
that,12013,12013,1
stranger,12014,12014,1
a,12015,12015,1
harpooneer,12016,12016,1
",",12017,12017,1
then,12018,12018,1
your,12019,12019,1
objections,12020,12020,1
indefinitely,12021,12021,0
multiply,12022,12022,0
.,12023,12023,1
Nor,12024,12024,0
was,12025,12025,1
there,12026,12026,1
any,12027,12027,1
earthly,12028,12028,1
reason,12029,12029,1
why,12030,12030,1
I,12031,12031,1
as,12032,12032,1
a,12033,12033,1
sailor,12034,12034,1
should,12035,12035,1
sleep,12036,12036,1
two,12037,12037,1
in,12038,12038,1
a,12039,12039,1
bed,12040,12040,1
",",12041,12041,1
more,12042,12042,1
than,12043,12043,1
anybody,12044,12044,0
else,12045,12045,1
;,12046,12046,1
for,12047,12047,1
sailors,12048,12048,1
no,12049,12049,1
more,12050,12050,1
sleep,12051,12051,1
two,12052,12052,1
in,12053,12053,1
a,12054,12054,1
bed,12055,12055,1
at,12056,12056,1
sea,12057,12057,1
",",12058,12058,1
than,12059,12059,1
bachelor,12060,12060,0
Kings,12061,12061,0
do,12062,12062,1
ashore,12063,12063,1
.,12064,12064,1
To,12065,12065,1
be,12066,12066,1
sure,12067,12067,1
they,12068,12068,1
all,12069,12069,1
sleep,12070,12070,1
together,12071,12071,1
in,12072,12072,1
one,12073,12073,1
apartment,12074,12074,0
",",12075,12075,1
but,12076,12076,1
you,12077,12077,1
have,12078,12078,1
your,12079,12079,1
own,12080,12080,1
hammock,12081,12081,0
",",12082,12082,1
and,12083,12083,1
cover,12084,12084,0
yourself,12085,12085,1
with,12086,12086,1
your,12087,12087,1
own,12088,12088,1
blanket,12089,12089,1
",",12090,12090,1
and,12091,12091,1
sleep,12092,12092,1
in,12093,12093,1
your,12094,12094,1
own,12095,12095,1
skin,12096,12096,0
.,12097,12097,1
The,12098,12098,1
more,12099,12099,1
I,12100,12100,1
pondered,12101,12101,0
over,12102,12102,1
this,12103,12103,1
harpooneer,12104,12104,1
",",12105,12105,1
the,12106,12106,1
more,12107,12107,1
I,12108,12108,1
abominated,12109,12109,0
the,12110,12110,1
thought,12111,12111,1
of,12112,12112,1
sleeping,12113,12113,1
with,12114,12114,1
him,12115,12115,1
.,12116,12116,1
It,12117,12117,1
was,12118,12118,1
fair,12119,12119,0
to,12120,12120,1
presume,12121,12121,0
that,12122,12122,1
being,12123,12123,1
a,12124,12124,1
harpooneer,12125,12125,1
",",12126,12126,1
his,12127,12127,1
linen,12128,12128,0
or,12129,12129,1
woollen,12130,12130,1
",",12131,12131,1
as,12132,12132,1
the,12133,12133,1
case,12134,12134,1
might,12135,12135,1
be,12136,12136,1
",",12137,12137,1
would,12138,12138,1
not,12139,12139,1
be,12140,12140,1
of,12141,12141,1
the,12142,12142,1
tidiest,12143,12143,0
",",12144,12144,1
certainly,12145,12145,0
none,12146,12146,0
of,12147,12147,1
the,12148,12148,1
finest,12149,12149,0
.,12150,12150,1
I,12151,12151,1
began,12152,12152,1
to,12153,12153,1
twitch,12154,12154,0
all,12155,12155,1
over,12156,12156,1
.,12157,12157,1
Besides,12158,12158,1
",",12159,12159,1
it,12160,12160,1
was,12161,12161,1
getting,12162,12162,0
late,12163,12163,1
",",12164,12164,1
and,12165,12165,1
my,12166,12166,1
decent,12167,12167,1
harpooneer,12168,12168,1
ought,12169,12169,0
to,12170,12170,1
be,12171,12171,1
home,12172,12172,1
and,12173,12173,1
going,12174,12174,1
bedwards,12175,12175,0
.,12176,12176,1
Suppose,12177,12177,0
now,12178,12178,1
",",12179,12179,1
he,12180,12180,1
should,12181,12181,1
tumble,12182,12182,0
in,12183,12183,1
upon,12184,12184,1
me,12185,12185,1
at,12186,12186,1
midnight—how,12187,12187,0
could,12188,12188,1
I,12189,12189,1
tell,12190,12190,1
from,12191,12191,1
what,12192,12192,1
vile,12193,12193,0
hole,12194,12194,0
he,12195,12195,1
had,12196,12196,1
been,12197,12197,1
coming,12198,12198,1
?,12199,12199,1
“,12200,12200,1
Landlord,12201,12201,1
!,12202,12202,1
I,12203,12203,1
’,12204,12204,1
ve,12205,12205,0
changed,12206,12206,0
my,12207,12207,1
mind,12208,12208,1
about,12209,12209,1
that,12210,12210,1
harpooneer.—I,12211,12211,0
shan,12212,12212,0
’,12213,12213,1
t,12214,12214,1
sleep,12215,12215,1
with,12216,12216,1
him,12217,12217,1
.,12218,12218,1
I,12219,12219,1
’,12220,12220,1
ll,12221,12221,1
try,12222,12222,1
the,12223,12223,1
bench,12224,12224,1
here.,12225,12225,0
”,12226,12226,1
“,12227,12227,1
Just,12228,12228,0
as,12229,12229,1
you,12230,12230,1
please,12231,12231,1
;,12232,12232,1
I,12233,12233,1
’,12234,12234,1
m,12235,12235,0
sorry,12236,12236,0
I,12237,12237,1
can,12238,12238,1
’,12239,12239,1
t,12240,12240,1
spare,12241,12241,0
ye,12242,12242,1
a,12243,12243,1
tablecloth,12244,12244,0
for,12245,12245,1
a,12246,12246,1
mattress,12247,12247,0
",",12248,12248,1
and,12249,12249,1
it,12250,12250,1
’,12251,12251,1
s,12252,12252,1
a,12253,12253,1
plaguy,12254,12254,0
rough,12255,12255,0
board,12256,12256,1
here,12257,12257,1
”,12258,12258,1
—feeling,12259,12259,0
of,12260,12260,1
the,12261,12261,1
knots,12262,12262,1
and,12263,12263,1
notches,12264,12264,0
.,12265,12265,1
“,12266,12266,1
But,12267,12267,1
wait,12268,12268,0
a,12269,12269,1
bit,12270,12270,1
",",12271,12271,1
Skrimshander,12272,12272,0
;,12273,12273,1
I,12274,12274,1
’,12275,12275,1
ve,12276,12276,1
got,12277,12277,0
a,12278,12278,1
carpenter,12279,12279,0
’,12280,12280,1
s,12281,12281,1
plane,12282,12282,0
there,12283,12283,1
in,12284,12284,1
the,12285,12285,1
bar—wait,12286,12286,0
",",12287,12287,1
I,12288,12288,1
say,12289,12289,1
",",12290,12290,1
and,12291,12291,1
I,12292,12292,1
’,12293,12293,1
ll,12294,12294,1
make,12295,12295,1
ye,12296,12296,1
snug,12297,12297,0
enough.,12298,12298,0
”,12299,12299,1
So,12300,12300,1
saying,12301,12301,0
he,12302,12302,1
procured,12303,12303,0
the,12304,12304,1
plane,12305,12305,1
;,12306,12306,1
and,12307,12307,1
with,12308,12308,1
his,12309,12309,1
old,12310,12310,1
silk,12311,12311,0
handkerchief,12312,12312,1
first,12313,12313,1
dusting,12314,12314,1
the,12315,12315,1
bench,12316,12316,1
",",12317,12317,1
vigorously,12318,12318,0
set,12319,12319,1
to,12320,12320,1
planing,12321,12321,0
away,12322,12322,1
at,12323,12323,1
my,12324,12324,1
bed,12325,12325,1
",",12326,12326,1
the,12327,12327,1
while,12328,12328,1
grinning,12329,12329,0
like,12330,12330,1
an,12331,12331,1
ape,12332,12332,0
.,12333,12333,1
The,12334,12334,1
shavings,12335,12335,0
flew,12336,12336,0
right,12337,12337,1
and,12338,12338,1
left,12339,12339,1
;,12340,12340,1
till,12341,12341,1
at,12342,12342,1
last,12343,12343,1
the,12344,12344,1
plane-iron,12345,12345,0
came,12346,12346,1
bump,12347,12347,0
against,12348,12348,1
an,12349,12349,1
indestructible,12350,12350,0
knot,12351,12351,0
.,12352,12352,1
The,12353,12353,1
landlord,12354,12354,1
was,12355,12355,1
near,12356,12356,1
spraining,12357,12357,0
his,12358,12358,1
wrist,12359,12359,0
",",12360,12360,1
and,12361,12361,1
I,12362,12362,1
told,12363,12363,1
him,12364,12364,1
for,12365,12365,1
heaven,12366,12366,1
’,12367,12367,1
s,12368,12368,1
sake,12369,12369,0
to,12370,12370,1
quit—the,12371,12371,0
bed,12372,12372,1
was,12373,12373,1
soft,12374,12374,0
enough,12375,12375,1
to,12376,12376,1
suit,12377,12377,0
me,12378,12378,1
",",12379,12379,1
and,12380,12380,1
I,12381,12381,1
did,12382,12382,1
not,12383,12383,1
know,12384,12384,1
how,12385,12385,1
all,12386,12386,1
the,12387,12387,1
planing,12388,12388,1
in,12389,12389,1
the,12390,12390,1
world,12391,12391,1
could,12392,12392,1
make,12393,12393,1
eider,12394,12394,0
down,12395,12395,1
of,12396,12396,1
a,12397,12397,1
pine,12398,12398,0
plank,12399,12399,0
.,12400,12400,1
So,12401,12401,1
gathering,12402,12402,0
up,12403,12403,1
the,12404,12404,1
shavings,12405,12405,1
with,12406,12406,1
another,12407,12407,1
grin,12408,12408,1
",",12409,12409,1
and,12410,12410,1
throwing,12411,12411,1
them,12412,12412,1
into,12413,12413,1
the,12414,12414,1
great,12415,12415,1
stove,12416,12416,1
in,12417,12417,1
the,12418,12418,1
middle,12419,12419,1
of,12420,12420,1
the,12421,12421,1
room,12422,12422,1
",",12423,12423,1
he,12424,12424,1
went,12425,12425,1
about,12426,12426,1
his,12427,12427,1
business,12428,12428,1
",",12429,12429,1
and,12430,12430,1
left,12431,12431,1
me,12432,12432,1
in,12433,12433,1
a,12434,12434,1
brown,12435,12435,1
study,12436,12436,1
.,12437,12437,1
I,12438,12438,1
now,12439,12439,1
took,12440,12440,1
the,12441,12441,1
measure,12442,12442,1
of,12443,12443,1
the,12444,12444,1
bench,12445,12445,1
",",12446,12446,1
and,12447,12447,1
found,12448,12448,1
that,12449,12449,1
it,12450,12450,1
was,12451,12451,1
a,12452,12452,1
foot,12453,12453,1
too,12454,12454,1
short,12455,12455,1
;,12456,12456,1
but,12457,12457,1
that,12458,12458,1
could,12459,12459,1
be,12460,12460,1
mended,12461,12461,0
with,12462,12462,1
a,12463,12463,1
chair,12464,12464,0
.,12465,12465,1
But,12466,12466,1
it,12467,12467,1
was,12468,12468,1
a,12469,12469,1
foot,12470,12470,1
too,12471,12471,1
narrow,12472,12472,0
",",12473,12473,1
and,12474,12474,1
the,12475,12475,1
other,12476,12476,1
bench,12477,12477,1
in,12478,12478,1
the,12479,12479,1
room,12480,12480,1
was,12481,12481,1
about,12482,12482,1
four,12483,12483,1
inches,12484,12484,1
higher,12485,12485,0
than,12486,12486,1
the,12487,12487,1
planed,12488,12488,0
one—so,12489,12489,0
there,12490,12490,1
was,12491,12491,1
no,12492,12492,1
yoking,12493,12493,0
them,12494,12494,1
.,12495,12495,1
I,12496,12496,1
then,12497,12497,1
placed,12498,12498,1
the,12499,12499,1
first,12500,12500,1
bench,12501,12501,1
lengthwise,12502,12502,1
along,12503,12503,1
the,12504,12504,1
only,12505,12505,1
clear,12506,12506,1
space,12507,12507,1
against,12508,12508,1
the,12509,12509,1
wall,12510,12510,1
",",12511,12511,1
leaving,12512,12512,1
a,12513,12513,1
little,12514,12514,1
interval,12515,12515,0
between,12516,12516,1
",",12517,12517,1
for,12518,12518,1
my,12519,12519,1
back,12520,12520,1
to,12521,12521,1
settle,12522,12522,1
down,12523,12523,1
in,12524,12524,1
.,12525,12525,1
But,12526,12526,1
I,12527,12527,1
soon,12528,12528,1
found,12529,12529,1
that,12530,12530,1
there,12531,12531,1
came,12532,12532,1
such,12533,12533,1
a,12534,12534,1
draught,12535,12535,0
of,12536,12536,1
cold,12537,12537,1
air,12538,12538,1
over,12539,12539,1
me,12540,12540,1
from,12541,12541,1
under,12542,12542,1
the,12543,12543,1
sill,12544,12544,0
of,12545,12545,1
the,12546,12546,1
window,12547,12547,1
",",12548,12548,1
that,12549,12549,1
this,12550,12550,1
plan,12551,12551,1
would,12552,12552,1
never,12553,12553,1
do,12554,12554,1
at,12555,12555,1
all,12556,12556,1
",",12557,12557,1
especially,12558,12558,1
as,12559,12559,1
another,12560,12560,1
current,12561,12561,0
from,12562,12562,1
the,12563,12563,1
rickety,12564,12564,0
door,12565,12565,1
met,12566,12566,0
the,12567,12567,1
one,12568,12568,1
from,12569,12569,1
the,12570,12570,1
window,12571,12571,1
",",12572,12572,1
and,12573,12573,1
both,12574,12574,1
together,12575,12575,1
formed,12576,12576,1
a,12577,12577,1
series,12578,12578,1
of,12579,12579,1
small,12580,12580,1
whirlwinds,12581,12581,0
in,12582,12582,1
the,12583,12583,1
immediate,12584,12584,0
vicinity,12585,12585,1
of,12586,12586,1
the,12587,12587,1
spot,12588,12588,1
where,12589,12589,1
I,12590,12590,1
had,12591,12591,1
thought,12592,12592,1
to,12593,12593,1
spend,12594,12594,1
the,12595,12595,1
night,12596,12596,1
.,12597,12597,1
The,12598,12598,1
devil,12599,12599,1
fetch,12600,12600,0
that,12601,12601,1
harpooneer,12602,12602,1
",",12603,12603,1
thought,12604,12604,1
I,12605,12605,1
",",12606,12606,1
but,12607,12607,1
stop,12608,12608,1
",",12609,12609,1
couldn,12610,12610,1
’,12611,12611,1
t,12612,12612,1
I,12613,12613,1
steal,12614,12614,0
a,12615,12615,1
march,12616,12616,0
on,12617,12617,1
him—bolt,12618,12618,0
his,12619,12619,1
door,12620,12620,1
inside,12621,12621,0
",",12622,12622,1
and,12623,12623,1
jump,12624,12624,1
into,12625,12625,1
his,12626,12626,1
bed,12627,12627,1
",",12628,12628,1
not,12629,12629,1
to,12630,12630,1
be,12631,12631,1
wakened,12632,12632,0
by,12633,12633,1
the,12634,12634,1
most,12635,12635,1
violent,12636,12636,0
knockings,12637,12637,0
?,12638,12638,1
It,12639,12639,1
seemed,12640,12640,1
no,12641,12641,1
bad,12642,12642,1
idea,12643,12643,1
;,12644,12644,1
but,12645,12645,1
upon,12646,12646,1
second,12647,12647,1
thoughts,12648,12648,0
I,12649,12649,1
dismissed,12650,12650,0
it,12651,12651,1
.,12652,12652,1
For,12653,12653,1
who,12654,12654,1
could,12655,12655,1
tell,12656,12656,1
but,12657,12657,1
what,12658,12658,1
the,12659,12659,1
next,12660,12660,0
morning,12661,12661,1
",",12662,12662,1
so,12663,12663,1
soon,12664,12664,1
as,12665,12665,1
I,12666,12666,1
popped,12667,12667,0
out,12668,12668,1
of,12669,12669,1
the,12670,12670,1
room,12671,12671,1
",",12672,12672,1
the,12673,12673,1
harpooneer,12674,12674,1
might,12675,12675,1
be,12676,12676,1
standing,12677,12677,1
in,12678,12678,1
the,12679,12679,1
entry,12680,12680,1
",",12681,12681,1
all,12682,12682,1
ready,12683,12683,1
to,12684,12684,1
knock,12685,12685,0
me,12686,12686,1
down,12687,12687,1
!,12688,12688,1
Still,12689,12689,0
",",12690,12690,1
looking,12691,12691,1
round,12692,12692,1
me,12693,12693,1
again,12694,12694,1
",",12695,12695,1
and,12696,12696,1
seeing,12697,12697,0
no,12698,12698,1
possible,12699,12699,1
chance,12700,12700,1
of,12701,12701,1
spending,12702,12702,0
a,12703,12703,1
sufferable,12704,12704,0
night,12705,12705,1
unless,12706,12706,1
in,12707,12707,1
some,12708,12708,1
other,12709,12709,1
person,12710,12710,0
’,12711,12711,1
s,12712,12712,1
bed,12713,12713,1
",",12714,12714,1
I,12715,12715,1
began,12716,12716,1
to,12717,12717,1
think,12718,12718,1
that,12719,12719,1
after,12720,12720,1
all,12721,12721,1
I,12722,12722,1
might,12723,12723,1
be,12724,12724,1
cherishing,12725,12725,0
unwarrantable,12726,12726,0
prejudices,12727,12727,0
against,12728,12728,1
this,12729,12729,1
unknown,12730,12730,1
harpooneer,12731,12731,1
.,12732,12732,1
Thinks,12733,12733,0
I,12734,12734,1
",",12735,12735,1
I,12736,12736,1
’,12737,12737,1
ll,12738,12738,1
wait,12739,12739,1
awhile,12740,12740,0
;,12741,12741,1
he,12742,12742,1
must,12743,12743,1
be,12744,12744,1
dropping,12745,12745,0
in,12746,12746,1
before,12747,12747,1
long,12748,12748,1
.,12749,12749,1
I,12750,12750,1
’,12751,12751,1
ll,12752,12752,1
have,12753,12753,1
a,12754,12754,1
good,12755,12755,1
look,12756,12756,1
at,12757,12757,1
him,12758,12758,1
then,12759,12759,1
",",12760,12760,1
and,12761,12761,1
perhaps,12762,12762,1
we,12763,12763,1
may,12764,12764,1
become,12765,12765,1
jolly,12766,12766,1
good,12767,12767,1
bedfellows,12768,12768,0
after,12769,12769,1
all—there,12770,12770,0
’,12771,12771,1
s,12772,12772,1
no,12773,12773,1
telling,12774,12774,1
.,12775,12775,1
But,12776,12776,1
though,12777,12777,1
the,12778,12778,1
other,12779,12779,1
boarders,12780,12780,0
kept,12781,12781,1
coming,12782,12782,1
in,12783,12783,1
by,12784,12784,1
ones,12785,12785,0
",",12786,12786,1
twos,12787,12787,0
",",12788,12788,1
and,12789,12789,1
threes,12790,12790,0
",",12791,12791,1
and,12792,12792,1
going,12793,12793,1
to,12794,12794,1
bed,12795,12795,1
",",12796,12796,1
yet,12797,12797,1
no,12798,12798,1
sign,12799,12799,1
of,12800,12800,1
my,12801,12801,1
harpooneer,12802,12802,1
.,12803,12803,1
“,12804,12804,1
Landlord,12805,12805,1
!,12806,12806,1
”,12807,12807,1
said,12808,12808,1
I,12809,12809,1
",",12810,12810,1
“,12811,12811,1
what,12812,12812,1
sort,12813,12813,1
of,12814,12814,1
a,12815,12815,1
chap,12816,12816,1
is,12817,12817,1
he—does,12818,12818,0
he,12819,12819,1
always,12820,12820,1
keep,12821,12821,1
such,12822,12822,1
late,12823,12823,1
hours,12824,12824,1
?,12825,12825,1
”,12826,12826,1
It,12827,12827,1
was,12828,12828,1
now,12829,12829,1
hard,12830,12830,1
upon,12831,12831,1
twelve,12832,12832,1
o,12833,12833,1
’,12834,12834,1
clock,12835,12835,1
.,12836,12836,1
The,12837,12837,1
landlord,12838,12838,1
chuckled,12839,12839,0
again,12840,12840,1
with,12841,12841,1
his,12842,12842,1
lean,12843,12843,0
chuckle,12844,12844,0
",",12845,12845,1
and,12846,12846,1
seemed,12847,12847,1
to,12848,12848,1
be,12849,12849,1
mightily,12850,12850,0
tickled,12851,12851,0
at,12852,12852,1
something,12853,12853,1
beyond,12854,12854,1
my,12855,12855,1
comprehension,12856,12856,0
.,12857,12857,1
“,12858,12858,1
No,12859,12859,1
",",12860,12860,1
”,12861,12861,1
he,12862,12862,1
answered,12863,12863,1
",",12864,12864,1
“,12865,12865,1
generally,12866,12866,1
he,12867,12867,1
’,12868,12868,1
s,12869,12869,1
an,12870,12870,1
early,12871,12871,0
bird—airley,12872,12872,0
to,12873,12873,1
bed,12874,12874,1
and,12875,12875,1
airley,12876,12876,0
to,12877,12877,1
rise—yes,12878,12878,0
",",12879,12879,1
he,12880,12880,1
’,12881,12881,1
s,12882,12882,1
the,12883,12883,1
bird,12884,12884,1
what,12885,12885,1
catches,12886,12886,0
the,12887,12887,1
worm,12888,12888,0
.,12889,12889,1
But,12890,12890,1
to-night,12891,12891,0
he,12892,12892,1
went,12893,12893,1
out,12894,12894,1
a,12895,12895,1
peddling,12896,12896,0
",",12897,12897,1
you,12898,12898,1
see,12899,12899,1
",",12900,12900,1
and,12901,12901,1
I,12902,12902,1
don,12903,12903,1
’,12904,12904,1
t,12905,12905,1
see,12906,12906,1
what,12907,12907,1
on,12908,12908,1
airth,12909,12909,0
keeps,12910,12910,0
him,12911,12911,1
so,12912,12912,1
late,12913,12913,1
",",12914,12914,1
unless,12915,12915,1
",",12916,12916,1
may,12917,12917,1
be,12918,12918,1
",",12919,12919,1
he,12920,12920,1
can,12921,12921,1
’,12922,12922,1
t,12923,12923,1
sell,12924,12924,0
his,12925,12925,1
head.,12926,12926,0
”,12927,12927,1
“,12928,12928,1
Can,12929,12929,1
’,12930,12930,1
t,12931,12931,1
sell,12932,12932,1
his,12933,12933,1
head,12934,12934,1
?,12935,12935,1
—What,12936,12936,0
sort,12937,12937,1
of,12938,12938,1
a,12939,12939,1
bamboozingly,12940,12940,0
story,12941,12941,1
is,12942,12942,1
this,12943,12943,1
you,12944,12944,1
are,12945,12945,1
telling,12946,12946,1
me,12947,12947,1
?,12948,12948,1
”,12949,12949,1
getting,12950,12950,1
into,12951,12951,1
a,12952,12952,1
towering,12953,12953,0
rage,12954,12954,0
.,12955,12955,1
“,12956,12956,1
Do,12957,12957,1
you,12958,12958,1
pretend,12959,12959,0
to,12960,12960,1
say,12961,12961,1
",",12962,12962,1
landlord,12963,12963,1
",",12964,12964,1
that,12965,12965,1
this,12966,12966,1
harpooneer,12967,12967,1
is,12968,12968,1
actually,12969,12969,0
engaged,12970,12970,1
this,12971,12971,1
blessed,12972,12972,0
Saturday,12973,12973,1
night,12974,12974,1
",",12975,12975,1
or,12976,12976,1
rather,12977,12977,1
Sunday,12978,12978,0
morning,12979,12979,1
",",12980,12980,1
in,12981,12981,1
peddling,12982,12982,1
his,12983,12983,1
head,12984,12984,1
around,12985,12985,1
this,12986,12986,1
town,12987,12987,1
?,12988,12988,1
”,12989,12989,1
“,12990,12990,1
That,12991,12991,1
’,12992,12992,1
s,12993,12993,1
precisely,12994,12994,0
it,12995,12995,1
",",12996,12996,1
”,12997,12997,1
said,12998,12998,1
the,12999,12999,1
landlord,13000,13000,1
",",13001,13001,1
“,13002,13002,1
and,13003,13003,1
I,13004,13004,1
told,13005,13005,1
him,13006,13006,1
he,13007,13007,1
couldn,13008,13008,1
’,13009,13009,1
t,13010,13010,1
sell,13011,13011,1
it,13012,13012,1
here,13013,13013,1
",",13014,13014,1
the,13015,13015,1
market,13016,13016,0
’,13017,13017,1
s,13018,13018,1
overstocked.,13019,13019,0
”,13020,13020,1
“,13021,13021,1
With,13022,13022,1
what,13023,13023,1
?,13024,13024,1
”,13025,13025,1
shouted,13026,13026,0
I,13027,13027,1
.,13028,13028,1
“,13029,13029,1
With,13030,13030,1
heads,13031,13031,1
to,13032,13032,1
be,13033,13033,1
sure,13034,13034,1
;,13035,13035,1
ain,13036,13036,1
’,13037,13037,1
t,13038,13038,1
there,13039,13039,1
too,13040,13040,1
many,13041,13041,1
heads,13042,13042,1
in,13043,13043,1
the,13044,13044,1
world,13045,13045,1
?,13046,13046,1
”,13047,13047,1
“,13048,13048,1
I,13049,13049,1
tell,13050,13050,1
you,13051,13051,1
what,13052,13052,1
it,13053,13053,1
is,13054,13054,1
",",13055,13055,1
landlord,13056,13056,1
",",13057,13057,1
”,13058,13058,1
said,13059,13059,1
I,13060,13060,1
quite,13061,13061,1
calmly,13062,13062,0
",",13063,13063,1
“,13064,13064,1
you,13065,13065,1
’,13066,13066,1
d,13067,13067,1
better,13068,13068,1
stop,13069,13069,1
spinning,13070,13070,0
that,13071,13071,1
yarn,13072,13072,0
to,13073,13073,1
me—I,13074,13074,0
’,13075,13075,1
m,13076,13076,1
not,13077,13077,1
green.,13078,13078,0
”,13079,13079,1
“,13080,13080,1
May,13081,13081,1
be,13082,13082,1
not,13083,13083,1
",",13084,13084,1
”,13085,13085,1
taking,13086,13086,1
out,13087,13087,1
a,13088,13088,1
stick,13089,13089,0
and,13090,13090,1
whittling,13091,13091,0
a,13092,13092,1
toothpick,13093,13093,0
",",13094,13094,1
“,13095,13095,1
but,13096,13096,1
I,13097,13097,1
rayther,13098,13098,0
guess,13099,13099,0
you,13100,13100,1
’,13101,13101,1
ll,13102,13102,1
be,13103,13103,1
done,13104,13104,0
_brown_,13105,13105,0
if,13106,13106,1
that,13107,13107,1
ere,13108,13108,1
harpooneer,13109,13109,1
hears,13110,13110,0
you,13111,13111,1
a,13112,13112,1
slanderin,13113,13113,0
’,13114,13114,1
his,13115,13115,1
head.,13116,13116,1
”,13117,13117,1
“,13118,13118,1
I,13119,13119,1
’,13120,13120,1
ll,13121,13121,1
break,13122,13122,0
it,13123,13123,1
for,13124,13124,1
him,13125,13125,1
",",13126,13126,1
”,13127,13127,1
said,13128,13128,1
I,13129,13129,1
",",13130,13130,1
now,13131,13131,1
flying,13132,13132,1
into,13133,13133,1
a,13134,13134,1
passion,13135,13135,0
again,13136,13136,1
at,13137,13137,1
this,13138,13138,1
unaccountable,13139,13139,1
farrago,13140,13140,0
of,13141,13141,1
the,13142,13142,1
landlord,13143,13143,1
’,13144,13144,1
s,13145,13145,1
.,13146,13146,1
“,13147,13147,1
It,13148,13148,1
’,13149,13149,1
s,13150,13150,1
broke,13151,13151,0
a,13152,13152,1
’,13153,13153,1
ready,13154,13154,1
",",13155,13155,1
”,13156,13156,1
said,13157,13157,1
he,13158,13158,1
.,13159,13159,1
“,13160,13160,1
Broke,13161,13161,0
",",13162,13162,1
”,13163,13163,1
said,13164,13164,1
I—,13165,13165,0
“,13166,13166,1
_broke_,13167,13167,0
",",13168,13168,1
do,13169,13169,1
you,13170,13170,1
mean,13171,13171,1
?,13172,13172,1
”,13173,13173,1
