tokens,token_n,N_1,new
52,335,335,0
.,336,336,1
The,337,337,1
Albatross,338,338,0
.,339,339,1
CHAPTER,340,340,1
53,341,341,0
.,342,342,1
The,343,343,1
Gam,344,344,0
.,345,345,1
CHAPTER,346,346,1
54,347,347,0
.,348,348,1
The,349,349,1
Town-Ho,350,350,0
’,351,351,1
s,352,352,1
Story,353,353,0
.,354,354,1
CHAPTER,355,355,1
55,356,356,0
.,357,357,1
Of,358,358,0
the,359,359,1
Monstrous,360,360,0
Pictures,361,361,0
of,362,362,1
Whales,363,363,0
.,364,364,1
CHAPTER,365,365,1
56,366,366,0
.,367,367,1
Of,368,368,1
the,369,369,1
Less,370,370,0
Erroneous,371,371,0
Pictures,372,372,1
of,373,373,1
Whales,374,374,1
",",375,375,1
and,376,376,1
the,377,377,1
True,378,378,0
Pictures,379,379,1
of,380,380,1
Whaling,381,381,0
Scenes,382,382,0
.,383,383,1
CHAPTER,384,384,1
57,385,385,0
.,386,386,1
Of,387,387,1
Whales,388,388,1
in,389,389,0
Paint,390,390,0
;,391,391,1
in,392,392,1
Teeth,393,393,0
;,394,394,1
in,395,395,1
Wood,396,396,0
;,397,397,1
in,398,398,1
Sheet-Iron,399,399,0
;,400,400,1
in,401,401,1
Stone,402,402,0
;,403,403,1
in,404,404,1
Mountains,405,405,0
;,406,406,1
in,407,407,1
Stars,408,408,0
.,409,409,1
CHAPTER,410,410,1
58,411,411,0
.,412,412,1
Brit,413,413,0
.,414,414,1
CHAPTER,415,415,1
59,416,416,0
.,417,417,1
Squid,418,418,0
.,419,419,1
CHAPTER,420,420,1
60,421,421,0
.,422,422,1
The,423,423,1
Line,424,424,0
.,425,425,1
CHAPTER,426,426,1
61,427,427,0
.,428,428,1
Stubb,429,429,1
Kills,430,430,0
a,431,431,1
Whale,432,432,1
.,433,433,1
CHAPTER,434,434,1
62,435,435,0
.,436,436,1
The,437,437,1
Dart,438,438,0
.,439,439,1
CHAPTER,440,440,1
63,441,441,0
.,442,442,1
The,443,443,1
Crotch,444,444,0
.,445,445,1
CHAPTER,446,446,1
64,447,447,0
.,448,448,1
Stubb,449,449,1
’,450,450,1
s,451,451,1
Supper,452,452,0
.,453,453,1
CHAPTER,454,454,1
65,455,455,0
.,456,456,1
The,457,457,1
Whale,458,458,1
as,459,459,0
a,460,460,1
Dish,461,461,0
.,462,462,1
CHAPTER,463,463,1
66,464,464,0
.,465,465,1
The,466,466,1
Shark,467,467,0
Massacre,468,468,0
.,469,469,1
CHAPTER,470,470,1
67,471,471,0
.,472,472,1
Cutting,473,473,0
In,474,474,0
.,475,475,1
CHAPTER,476,476,1
68,477,477,0
.,478,478,1
The,479,479,1
Blanket,480,480,0
.,481,481,1
CHAPTER,482,482,1
69,483,483,0
.,484,484,1
The,485,485,1
Funeral,486,486,0
.,487,487,1
CHAPTER,488,488,1
70,489,489,0
.,490,490,1
The,491,491,1
Sphynx,492,492,0
.,493,493,1
CHAPTER,494,494,1
71,495,495,0
.,496,496,1
The,497,497,1
Jeroboam,498,498,0
’,499,499,1
s,500,500,1
Story,501,501,1
.,502,502,1
CHAPTER,503,503,1
72,504,504,0
.,505,505,1
The,506,506,1
Monkey-Rope,507,507,0
.,508,508,1
CHAPTER,509,509,1
73,510,510,0
.,511,511,1
Stubb,512,512,1
and,513,513,1
Flask,514,514,0
kill,515,515,0
a,516,516,1
Right,517,517,0
Whale,518,518,1
;,519,519,1
and,520,520,1
Then,521,521,0
Have,522,522,0
a,523,523,1
Talk,524,524,0
over,525,525,0
Him,526,526,1
.,527,527,1
CHAPTER,528,528,1
74,529,529,0
.,530,530,1
The,531,531,1
Sperm,532,532,0
Whale,533,533,1
’,534,534,1
s,535,535,1
Head—Contrasted,536,536,0
View,537,537,0
.,538,538,1
CHAPTER,539,539,1
75,540,540,0
.,541,541,1
The,542,542,1
Right,543,543,1
Whale,544,544,1
’,545,545,1
s,546,546,1
Head—Contrasted,547,547,1
View,548,548,1
.,549,549,1
CHAPTER,550,550,1
76,551,551,0
.,552,552,1
The,553,553,1
Battering-Ram,554,554,0
.,555,555,1
CHAPTER,556,556,1
77,557,557,0
.,558,558,1
The,559,559,1
Great,560,560,0
